amphoe,tambon,cand_number,candidate_name,party_name,color_hex,score
ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,301
ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,4659
ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,600
ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,66
ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,1979
ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,21
อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,267
อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,2389
อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,166
อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,18
อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,76
อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,8
อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,44
อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,1554
อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,192
อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,19
อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,147
อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,20
อำเภอทุ่งศรีอุดม,ตำบลนาเกษม,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,348
อำเภอทุ่งศรีอุดม,ตำบลนาเกษม,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,1957
อำเภอทุ่งศรีอุดม,ตำบลนาเกษม,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,154
อำเภอทุ่งศรีอุดม,ตำบลนาเกษม,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,41
อำเภอทุ่งศรีอุดม,ตำบลนาเกษม,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,89
อำเภอทุ่งศรีอุดม,ตำบลนาเกษม,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,5
อำเภอทุ่งศรีอุดม,ตำบลหนองอ้ม,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,79
อำเภอทุ่งศรีอุดม,ตำบลหนองอ้ม,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,1919
อำเภอทุ่งศรีอุดม,ตำบลหนองอ้ม,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,265
อำเภอทุ่งศรีอุดม,ตำบลหนองอ้ม,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,45
อำเภอทุ่งศรีอุดม,ตำบลหนองอ้ม,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,176
อำเภอทุ่งศรีอุดม,ตำบลหนองอ้ม,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,15
อำเภอทุ่งศรีอุดม,ตำบลโคกชำแระ,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,81
อำเภอทุ่งศรีอุดม,ตำบลโคกชำแระ,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,2317
อำเภอทุ่งศรีอุดม,ตำบลโคกชำแระ,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,118
อำเภอทุ่งศรีอุดม,ตำบลโคกชำแระ,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,22
อำเภอทุ่งศรีอุดม,ตำบลโคกชำแระ,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,139
อำเภอทุ่งศรีอุดม,ตำบลโคกชำแระ,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,9
อำเภอน้ำขุ่น,ตำบลขี้เหล็ก,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,347
อำเภอน้ำขุ่น,ตำบลขี้เหล็ก,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,3130
อำเภอน้ำขุ่น,ตำบลขี้เหล็ก,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,87
อำเภอน้ำขุ่น,ตำบลขี้เหล็ก,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,34
อำเภอน้ำขุ่น,ตำบลขี้เหล็ก,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,123
อำเภอน้ำขุ่น,ตำบลขี้เหล็ก,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,13
อำเภอน้ำขุ่น,ตำบลตาเกา,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,35
อำเภอน้ำขุ่น,ตำบลตาเกา,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,1739
อำเภอน้ำขุ่น,ตำบลตาเกา,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,58
อำเภอน้ำขุ่น,ตำบลตาเกา,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,6
อำเภอน้ำขุ่น,ตำบลตาเกา,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,44
อำเภอน้ำขุ่น,ตำบลตาเกา,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,5
อำเภอน้ำขุ่น,ตำบลโคกสะอาด,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,38
อำเภอน้ำขุ่น,ตำบลโคกสะอาด,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,2676
อำเภอน้ำขุ่น,ตำบลโคกสะอาด,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,85
อำเภอน้ำขุ่น,ตำบลโคกสะอาด,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,42
อำเภอน้ำขุ่น,ตำบลโคกสะอาด,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,73
อำเภอน้ำขุ่น,ตำบลโคกสะอาด,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,12
อำเภอน้ำขุ่น,ตำบลไพบูลย์,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,87
อำเภอน้ำขุ่น,ตำบลไพบูลย์,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,2626
อำเภอน้ำขุ่น,ตำบลไพบูลย์,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,154
อำเภอน้ำขุ่น,ตำบลไพบูลย์,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,41
อำเภอน้ำขุ่น,ตำบลไพบูลย์,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,94
อำเภอน้ำขุ่น,ตำบลไพบูลย์,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,7
อำเภอน้ำยืน,ตำบลบุเปือย,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,53
อำเภอน้ำยืน,ตำบลบุเปือย,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,3371
อำเภอน้ำยืน,ตำบลบุเปือย,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,103
อำเภอน้ำยืน,ตำบลบุเปือย,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,40
อำเภอน้ำยืน,ตำบลบุเปือย,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,132
อำเภอน้ำยืน,ตำบลบุเปือย,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,16
