station_name,amphoe,tambon,station_id,station_type,cand_number,candidate_name,party_name,color_hex,score
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 ชุดที่ 9,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 ชุดที่ 9,advance_out,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,36
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 ชุดที่ 9,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 ชุดที่ 9,advance_out,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,257
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 ชุดที่ 9,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 ชุดที่ 9,advance_out,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,4
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 ชุดที่ 9,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 ชุดที่ 9,advance_out,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,6
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 ชุดที่ 9,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 ชุดที่ 9,advance_out,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,20
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 ชุดที่ 9,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 ชุดที่ 9,advance_out,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,0
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 1,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 1,election_day,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,17
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 1,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 1,election_day,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,304
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 1,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 1,election_day,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,52
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 1,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 1,election_day,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,1
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 1,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 1,election_day,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,3
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 1,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 1,election_day,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,1
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 10,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 10,election_day,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,186
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 10,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 10,election_day,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,186
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 10,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 10,election_day,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,0
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 10,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 10,election_day,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,0
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 10,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 10,election_day,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,15
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 10,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 10,election_day,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,0
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 11,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 11,election_day,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,3
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 11,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 11,election_day,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,126
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 11,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 11,election_day,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,8
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 11,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 11,election_day,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,1
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 11,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 11,election_day,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,0
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 11,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 11,election_day,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,0
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 2,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 2,election_day,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,11
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 2,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 2,election_day,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,363
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 2,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 2,election_day,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,15
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 2,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 2,election_day,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,0
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 2,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 2,election_day,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,28
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 2,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 2,election_day,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,2
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 3,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 3,election_day,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,1
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 3,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 3,election_day,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,144
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 3,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 3,election_day,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,7
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 3,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 3,election_day,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,4
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 3,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 3,election_day,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,8
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 3,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 3,election_day,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,1
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 4,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 4,election_day,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,11
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 4,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 4,election_day,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,174
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 4,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 4,election_day,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,7
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 4,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 4,election_day,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,3
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 4,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 4,election_day,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,18
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 4,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 4,election_day,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,2
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 5,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 5,election_day,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,5
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 5,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 5,election_day,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,199
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 5,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 5,election_day,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,1
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 5,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 5,election_day,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,0
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 5,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 5,election_day,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,1
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 5,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 5,election_day,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,0
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 6,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 6,election_day,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,16
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 6,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 6,election_day,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,223
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 6,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 6,election_day,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,21
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 6,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 6,election_day,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,0
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 6,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 6,election_day,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,0
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 6,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 6,election_day,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,0
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 7,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 7,election_day,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,9
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 7,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 7,election_day,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,242
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 7,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 7,election_day,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,25
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 7,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 7,election_day,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,4
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 7,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 7,election_day,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,2
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 7,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 7,election_day,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,2
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 8,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 8,election_day,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,4
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 8,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 8,election_day,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,247
