number,party_name
1,ไทยทรัพย์ทวี
2,เพื่อชาติไทย
3,ใหม่
4,มิติใหม่
5,รวมใจไทย
6,รวมไทยสร้างชาติ
7,พลวัต
8,ประชาธิปไตยใหม่
9,เพื่อไทย
10,ทางเลือกใหม่
11,เศรษฐกิจ
12,เสรีรวมไทย
13,รวมพลังประชาชน
14,ท้องที่ไทย
15,อนาคตไทย
16,พลังเพื่อไทย
17,ไทยชนะ
18,พลังสังคมใหม่
19,สังคมประชาธิปไตยไทย
20,ฟิวชั่น
21,ไทรวมพลัง
22,ก้าวอิสระ
23,ปวงชนไทย
24,วิชชันใหม่
25,เพื่อชีวิตใหม่
26,คลองไทย
27,ประชาธิปัตย์
28,ไทยก้าวหน้า
29,ไทยภักดี
30,แรงงานสร้างชาติ
31,ประชากรไทย
32,ครูไทยเพื่อประชาชน
33,ประชาชาติ
34,สร้างอนาคตไทย
35,รักชาติ
36,ไทยพร้อม
37,ภูมิใจไทย
38,พลังธรรมใหม่
39,กรีน
40,ไทยธรรม
41,แผ่นดินธรรม
42,กล้าธรรม
43,พลังประชารัฐ
44,โอกาสใหม่
45,เป็นธรรม
46,ประชาชน
47,ประชาไทย
48,ไทยสร้างไทย
49,ไทยก้าวใหม่
50,ประชาอาสาชาติ
51,พร้อม
52,เครือข่ายชาวนาแห่งประเทศไทย
53,ไทยพิทักษ์ธรรม
54,ความหวังใหม่
55,ไทยรวมไทย
56,เพื่อบ้านเมือง
57,พลังไทยรักชาติ
