amphoe,party_number,party_name,score
ล่วงหน้านอกเขต,2,เพื่อชาติไทย,225
ล่วงหน้านอกเขต,9,เพื่อไทย,910
ล่วงหน้านอกเขต,20,ฟิวชั่น,171
ล่วงหน้านอกเขต,21,ไทรวมพลัง,2642
ล่วงหน้านอกเขต,22,ก้าวอิสระ,39
ล่วงหน้านอกเขต,37,ภูมิใจไทย,362
ล่วงหน้านอกเขต,46,ประชาชน,2799
ล่วงหน้านอกเขต,48,ไทยสร้างไทย,18
ล่วงหน้านอกเขต,56,เพื่อบ้านเมือง,9
ล่วงหน้านอกเขต,57,พลังไทยรักชาติ,1
อำเภอทุ่งศรีอุดม,2,เพื่อชาติไทย,418
อำเภอทุ่งศรีอุดม,9,เพื่อไทย,1310
อำเภอทุ่งศรีอุดม,20,ฟิวชั่น,176
อำเภอทุ่งศรีอุดม,21,ไทรวมพลัง,6120
อำเภอทุ่งศรีอุดม,22,ก้าวอิสระ,736
อำเภอทุ่งศรีอุดม,37,ภูมิใจไทย,183
อำเภอทุ่งศรีอุดม,46,ประชาชน,428
อำเภอทุ่งศรีอุดม,48,ไทยสร้างไทย,510
อำเภอทุ่งศรีอุดม,56,เพื่อบ้านเมือง,28
อำเภอทุ่งศรีอุดม,57,พลังไทยรักชาติ,1608
อำเภอน้ำขุ่น,2,เพื่อชาติไทย,273
อำเภอน้ำขุ่น,9,เพื่อไทย,750
อำเภอน้ำขุ่น,20,ฟิวชั่น,383
อำเภอน้ำขุ่น,21,ไทรวมพลัง,7128
อำเภอน้ำขุ่น,22,ก้าวอิสระ,77
อำเภอน้ำขุ่น,37,ภูมิใจไทย,162
อำเภอน้ำขุ่น,46,ประชาชน,160
อำเภอน้ำขุ่น,48,ไทยสร้างไทย,349
อำเภอน้ำขุ่น,56,เพื่อบ้านเมือง,993
อำเภอน้ำขุ่น,57,พลังไทยรักชาติ,170
อำเภอน้ำยืน,2,เพื่อชาติไทย,819
อำเภอน้ำยืน,9,เพื่อไทย,1326
อำเภอน้ำยืน,20,ฟิวชั่น,681
อำเภอน้ำยืน,21,ไทรวมพลัง,19606
อำเภอน้ำยืน,22,ก้าวอิสระ,1349
อำเภอน้ำยืน,37,ภูมิใจไทย,447
อำเภอน้ำยืน,46,ประชาชน,2209
อำเภอน้ำยืน,48,ไทยสร้างไทย,469
อำเภอน้ำยืน,56,เพื่อบ้านเมือง,668
อำเภอน้ำยืน,57,พลังไทยรักชาติ,654
อำเภอสำโรง,2,เพื่อชาติไทย,654
อำเภอสำโรง,9,เพื่อไทย,2884
อำเภอสำโรง,20,ฟิวชั่น,465
อำเภอสำโรง,21,ไทรวมพลัง,3904
อำเภอสำโรง,22,ก้าวอิสระ,344
อำเภอสำโรง,37,ภูมิใจไทย,403
อำเภอสำโรง,46,ประชาชน,1992
อำเภอสำโรง,48,ไทยสร้างไทย,255
อำเภอสำโรง,56,เพื่อบ้านเมือง,405
อำเภอสำโรง,57,พลังไทยรักชาติ,985
