station_name,amphoe,tambon,station_id,station_type,party_number,party_name,score
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,1,ไทยทรัพย์ทวี,1
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,2,เพื่อชาติไทย,12
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,3,ใหม่,3
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,4,มิติใหม่,6
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,5,รวมใจไทย,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,6,รวมไทยสร้างชาติ,6
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,7,พลวัต,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,8,ประชาธิปไตยใหม่,4
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,9,เพื่อไทย,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 1,advance_out,10,ทางเลือกใหม่,4
