amphoe,tambon,station_name,station_type,total_votes
ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 ชุดที่ 1,advance_out,478
ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 ชุดที่ 2,advance_out,461
ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 ชุดที่ 3,advance_out,502
ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 ชุดที่ 4,advance_out,465
ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 ชุดที่ 5,advance_out,459
ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 ชุดที่ 8,advance_out,491
ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 ชุดที่ 9,advance_out,323
ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 ชุดที่6,advance_out,485
ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 ชุดที่7,advance_out,460
ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,election_data\อำเภอเดชอุดม (เฉพาะตำบลทุ่งเทิง)\หน่วยที่ 1,advance_out,361
ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,election_data\อำเภอเดชอุดม (เฉพาะตำบลทุ่งเทิง)\หน่วยที่ 10,advance_out,233
ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,election_data\อำเภอเดชอุดม (เฉพาะตำบลทุ่งเทิง)\หน่วยที่ 11,advance_out,325
ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,election_data\อำเภอเดชอุดม (เฉพาะตำบลทุ่งเทิง)\หน่วยที่ 12,advance_out,222
ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,election_data\อำเภอเดชอุดม (เฉพาะตำบลทุ่งเทิง)\หน่วยที่ 13,advance_out,122
ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,election_data\อำเภอเดชอุดม (เฉพาะตำบลทุ่งเทิง)\หน่วยที่ 14,advance_out,140
ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,election_data\อำเภอเดชอุดม (เฉพาะตำบลทุ่งเทิง)\หน่วยที่ 15,advance_out,250
ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,election_data\อำเภอเดชอุดม (เฉพาะตำบลทุ่งเทิง)\หน่วยที่ 2,advance_out,459
ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,election_data\อำเภอเดชอุดม (เฉพาะตำบลทุ่งเทิง)\หน่วยที่ 3,advance_out,352
ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,election_data\อำเภอเดชอุดม (เฉพาะตำบลทุ่งเทิง)\หน่วยที่ 4,advance_out,151
ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,election_data\อำเภอเดชอุดม (เฉพาะตำบลทุ่งเทิง)\หน่วยที่ 5,advance_out,247
ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,election_data\อำเภอเดชอุดม (เฉพาะตำบลทุ่งเทิง)\หน่วยที่ 6,advance_out,169
ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,election_data\อำเภอเดชอุดม (เฉพาะตำบลทุ่งเทิง)\หน่วยที่ 7,advance_out,69
ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,election_data\อำเภอเดชอุดม (เฉพาะตำบลทุ่งเทิง)\หน่วยที่ 8,advance_out,152
ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,election_data\อำเภอเดชอุดม (เฉพาะตำบลทุ่งเทิง)\หน่วยที่ 9,advance_out,250
อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 1,election_day,378
อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 10,election_day,387
อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 11,election_day,138
อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 2,election_day,419
อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 3,election_day,165
อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 4,election_day,215
อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 5,election_day,206
อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 6,election_day,260
อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 7,election_day,284
อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 8,election_day,272
อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 9,election_day,200
อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 1,election_day,169
อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 10,election_day,121
อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 11,election_day,283
อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 2,election_day,171
อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 3,election_day,240
อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 4,election_day,120
อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 5,election_day,175
อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 6,election_day,252
อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 7,election_day,196
อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 8,election_day,130
อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 9,election_day,119
อำเภอทุ่งศรีอุดม,ตำบลนาเกษม,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 1,election_day,332
อำเภอทุ่งศรีอุดม,ตำบลนาเกษม,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 10,election_day,50
อำเภอทุ่งศรีอุดม,ตำบลนาเกษม,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 11,election_day,215
อำเภอทุ่งศรีอุดม,ตำบลนาเกษม,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 2,election_day,198
อำเภอทุ่งศรีอุดม,ตำบลนาเกษม,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 3,election_day,277
อำเภอทุ่งศรีอุดม,ตำบลนาเกษม,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 4,election_day,418
อำเภอทุ่งศรีอุดม,ตำบลนาเกษม,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 5,election_day,407
อำเภอทุ่งศรีอุดม,ตำบลนาเกษม,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 6,election_day,108
อำเภอทุ่งศรีอุดม,ตำบลนาเกษม,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 7,election_day,212
อำเภอทุ่งศรีอุดม,ตำบลนาเกษม,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 8,election_day,88
อำเภอทุ่งศรีอุดม,ตำบลนาเกษม,election_data\อำเภอทุ่งศรีอุดม\ตำบลนาเกษม\หน่วยที่ 9,election_day,289
อำเภอทุ่งศรีอุดม,ตำบลหนองอ้ม,election_data\อำเภอทุ่งศรีอุดม\ตำบลหนองอ้ม\หน่วยที่ 1,election_day,334
อำเภอทุ่งศรีอุดม,ตำบลหนองอ้ม,election_data\อำเภอทุ่งศรีอุดม\ตำบลหนองอ้ม\หน่วยที่ 10,election_day,177
อำเภอทุ่งศรีอุดม,ตำบลหนองอ้ม,election_data\อำเภอทุ่งศรีอุดม\ตำบลหนองอ้ม\หน่วยที่ 2,election_day,348
อำเภอทุ่งศรีอุดม,ตำบลหนองอ้ม,election_data\อำเภอทุ่งศรีอุดม\ตำบลหนองอ้ม\หน่วยที่ 3,election_day,234
