amphoe,tambon,candidate_name,party_name,score,color_hex
ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,4659,#ff66cc
อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,2389,#ff66cc
อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,1554,#ff66cc
อำเภอทุ่งศรีอุดม,ตำบลนาเกษม,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,1957,#ff66cc
อำเภอทุ่งศรีอุดม,ตำบลหนองอ้ม,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,1919,#ff66cc
อำเภอทุ่งศรีอุดม,ตำบลโคกชำแระ,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,2317,#ff66cc
อำเภอน้ำขุ่น,ตำบลขี้เหล็ก,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,3130,#ff66cc
อำเภอน้ำขุ่น,ตำบลตาเกา,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,1739,#ff66cc
อำเภอน้ำขุ่น,ตำบลโคกสะอาด,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,2676,#ff66cc
อำเภอน้ำขุ่น,ตำบลไพบูลย์,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,2626,#ff66cc
อำเภอน้ำยืน,ตำบลบุเปือย,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,3371,#ff66cc
อำเภอน้ำยืน,ตำบลยาง,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,2795,#ff66cc
อำเภอน้ำยืน,ตำบลยางใหญ่,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,2281,#ff66cc
อำเภอน้ำยืน,ตำบลสีวิเชียร,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,4204,#ff66cc
อำเภอน้ำยืน,ตำบลเก่าขาม,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,3077,#ff66cc
อำเภอน้ำยืน,ตำบลโซง,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,3522,#ff66cc
อำเภอน้ำยืน,ตำบลโดมประดิษฐ์,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,6654,#ff66cc
อำเภอสำโรง,ตำบลขามป้อม,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,1037,#ff66cc
อำเภอสำโรง,ตำบลค้อน้อย,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,2500,#ff66cc
อำเภอสำโรง,ตำบลหนองไฮ,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,2009,#ff66cc
อำเภอสำโรง,ตำบลโคกสว่าง,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,2245,#ff66cc
อำเภอสำโรง,ตำบลโนนกลาง,นายวัชรพล เชื้อคง,เพื่อไทย,660,#e0002b
อำเภอสำโรง,ตำบลโนนกาเล็น,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,1330,#ff66cc
