amphoe,cand_number,candidate_name,party_name,color_hex,score
ล่วงหน้านอกเขต,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,301
ล่วงหน้านอกเขต,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,4659
ล่วงหน้านอกเขต,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,600
ล่วงหน้านอกเขต,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,66
ล่วงหน้านอกเขต,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,1979
ล่วงหน้านอกเขต,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,21
อำเภอทุ่งศรีอุดม,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,819
อำเภอทุ่งศรีอุดม,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,10136
อำเภอทุ่งศรีอุดม,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,895
อำเภอทุ่งศรีอุดม,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,145
อำเภอทุ่งศรีอุดม,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,627
อำเภอทุ่งศรีอุดม,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,57
อำเภอน้ำขุ่น,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,507
อำเภอน้ำขุ่น,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,10171
อำเภอน้ำขุ่น,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,384
อำเภอน้ำขุ่น,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,123
อำเภอน้ำขุ่น,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,334
อำเภอน้ำขุ่น,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,37
อำเภอน้ำยืน,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,469
อำเภอน้ำยืน,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,25904
อำเภอน้ำยืน,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,937
อำเภอน้ำยืน,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,228
อำเภอน้ำยืน,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,897
อำเภอน้ำยืน,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,51
อำเภอสำโรง,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,1015
อำเภอสำโรง,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,9673
อำเภอสำโรง,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,2831
อำเภอสำโรง,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,325
อำเภอสำโรง,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,1012
อำเภอสำโรง,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,89
