party_number,party_name,party_votes,party_%,group
1,ไทยทรัพย์ทวี,579,0.63,B (no candidate)
2,เพื่อชาติไทย,2164,2.35,B (no candidate)
3,ใหม่,657,0.71,B (no candidate)
4,มิติใหม่,412,0.45,B (no candidate)
5,รวมใจไทย,636,0.69,B (no candidate)
6,รวมไทยสร้างชาติ,673,0.73,B (no candidate)
7,พลวัต,735,0.8,B (no candidate)
8,ประชาธิปไตยใหม่,635,0.69,B (no candidate)
9,เพื่อไทย,6270,6.81,A (has candidate)
10,ทางเลือกใหม่,461,0.5,B (no candidate)
11,เศรษฐกิจ,1356,1.47,B (no candidate)
12,เสรีรวมไทย,781,0.85,B (no candidate)
13,รวมพลังประชาชน,392,0.43,B (no candidate)
14,ท้องที่ไทย,926,1.01,B (no candidate)
15,อนาคตไทย,481,0.52,B (no candidate)
16,พลังเพื่อไทย,391,0.42,B (no candidate)
17,ไทยชนะ,713,0.77,B (no candidate)
18,พลังสังคมใหม่,302,0.33,B (no candidate)
19,สังคมประชาธิปไตยไทย,991,1.08,B (no candidate)
20,ฟิวชั่น,1705,1.85,B (no candidate)
21,ไทรวมพลัง,36758,39.91,A (has candidate)
22,ก้าวอิสระ,2506,2.72,B (no candidate)
23,ปวงชนไทย,395,0.43,B (no candidate)
24,วิชชันใหม่,276,0.3,B (no candidate)
25,เพื่อชีวิตใหม่,363,0.39,B (no candidate)
26,คลองไทย,362,0.39,B (no candidate)
27,ประชาธิปัตย์,650,0.71,A (has candidate)
28,ไทยก้าวหน้า,376,0.41,B (no candidate)
29,ไทยภักดี,365,0.4,B (no candidate)
30,แรงงานสร้างชาติ,346,0.38,B (no candidate)
31,ประชากรไทย,490,0.53,B (no candidate)
32,ครูไทยเพื่อประชาชน,692,0.75,B (no candidate)
33,ประชาชาติ,347,0.38,B (no candidate)
34,สร้างอนาคตไทย,302,0.33,B (no candidate)
35,รักชาติ,688,0.75,B (no candidate)
36,ไทยพร้อม,559,0.61,B (no candidate)
37,ภูมิใจไทย,1195,1.3,A (has candidate)
38,พลังธรรมใหม่,982,1.07,B (no candidate)
39,กรีน,560,0.61,B (no candidate)
40,ไทยธรรม,461,0.5,B (no candidate)
41,แผ่นดินธรรม,411,0.45,B (no candidate)
42,กล้าธรรม,473,0.51,B (no candidate)
43,พลังประชารัฐ,497,0.54,A (has candidate)
44,โอกาสใหม่,829,0.9,B (no candidate)
45,เป็นธรรม,449,0.49,B (no candidate)
46,ประชาชน,4789,5.2,A (has candidate)
47,ประชาไทย,1362,1.48,B (no candidate)
48,ไทยสร้างไทย,1583,1.72,B (no candidate)
49,ไทยก้าวใหม่,317,0.34,B (no candidate)
50,ประชาอาสาชาติ,1347,1.46,B (no candidate)
51,พร้อม,786,0.85,B (no candidate)
52,เครือข่ายชาวนาแห่งประเทศไทย,1216,1.32,B (no candidate)
53,ไทยพิทักษ์ธรรม,720,0.78,B (no candidate)
54,ความหวังใหม่,792,0.86,B (no candidate)
55,ไทยรวมไทย,1076,1.17,B (no candidate)
56,เพื่อบ้านเมือง,2094,2.27,B (no candidate)
57,พลังไทยรักชาติ,3417,3.71,B (no candidate)
