party_number,party_name,party_votes,party_%,share_of_split_%
57,พลังไทยรักชาติ,3417,3.71,8.15
22,ก้าวอิสระ,2506,2.72,5.98
2,เพื่อชาติไทย,2164,2.35,5.16
56,เพื่อบ้านเมือง,2094,2.27,4.99
20,ฟิวชั่น,1705,1.85,4.07
48,ไทยสร้างไทย,1583,1.72,3.78
47,ประชาไทย,1362,1.48,3.25
11,เศรษฐกิจ,1356,1.47,3.23
50,ประชาอาสาชาติ,1347,1.46,3.21
52,เครือข่ายชาวนาแห่งประเทศไทย,1216,1.32,2.9
55,ไทยรวมไทย,1076,1.17,2.57
19,สังคมประชาธิปไตยไทย,991,1.08,2.36
38,พลังธรรมใหม่,982,1.07,2.34
14,ท้องที่ไทย,926,1.01,2.21
44,โอกาสใหม่,829,0.9,1.98
54,ความหวังใหม่,792,0.86,1.89
51,พร้อม,786,0.85,1.87
12,เสรีรวมไทย,781,0.85,1.86
7,พลวัต,735,0.8,1.75
53,ไทยพิทักษ์ธรรม,720,0.78,1.72
17,ไทยชนะ,713,0.77,1.7
32,ครูไทยเพื่อประชาชน,692,0.75,1.65
35,รักชาติ,688,0.75,1.64
6,รวมไทยสร้างชาติ,673,0.73,1.6
3,ใหม่,657,0.71,1.57
5,รวมใจไทย,636,0.69,1.52
8,ประชาธิปไตยใหม่,635,0.69,1.51
1,ไทยทรัพย์ทวี,579,0.63,1.38
39,กรีน,560,0.61,1.34
36,ไทยพร้อม,559,0.61,1.33
31,ประชากรไทย,490,0.53,1.17
15,อนาคตไทย,481,0.52,1.15
42,กล้าธรรม,473,0.51,1.13
40,ไทยธรรม,461,0.5,1.1
10,ทางเลือกใหม่,461,0.5,1.1
45,เป็นธรรม,449,0.49,1.07
4,มิติใหม่,412,0.45,0.98
41,แผ่นดินธรรม,411,0.45,0.98
23,ปวงชนไทย,395,0.43,0.94
13,รวมพลังประชาชน,392,0.43,0.93
16,พลังเพื่อไทย,391,0.42,0.93
28,ไทยก้าวหน้า,376,0.41,0.9
29,ไทยภักดี,365,0.4,0.87
25,เพื่อชีวิตใหม่,363,0.39,0.87
26,คลองไทย,362,0.39,0.86
33,ประชาชาติ,347,0.38,0.83
30,แรงงานสร้างชาติ,346,0.38,0.83
49,ไทยก้าวใหม่,317,0.34,0.76
18,พลังสังคมใหม่,302,0.33,0.72
34,สร้างอนาคตไทย,302,0.33,0.72
24,วิชชันใหม่,276,0.3,0.66
