amphoe,tambon,winner,winner_party,winner_share_%,runner_up,runner_up_share_%,margin_pp,total_votes
อำเภอสำโรง,ตำบลโนนกลาง,นายวัชรพล เชื้อคง,เพื่อไทย,43.19,นายสมศักดิ์ บุญประชม,36.13,7.07,1528
อำเภอสำโรง,ตำบลโนนกาเล็น,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,47.89,นายวัชรพล เชื้อคง,35.83,12.06,2777
ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,61.09,นายสิโรตม์ แสนทวีสุข,25.95,35.14,7626
อำเภอสำโรง,ตำบลโคกสว่าง,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,71.98,นายวัชรพล เชื้อคง,13.47,58.51,3119
อำเภอสำโรง,ตำบลหนองไฮ,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,70.44,นายเกษม ฉิมพลี,11.12,59.33,2852
อำเภอทุ่งศรีอุดม,ตำบลนาเกษม,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,75.44,นายเกษม ฉิมพลี,13.42,62.03,2594
อำเภอสำโรง,ตำบลขามป้อม,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,76.25,นายสิโรตม์ แสนทวีสุข,11.4,64.85,1360
อำเภอสำโรง,ตำบลค้อน้อย,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,75.55,นายวัชรพล เชื้อคง,10.67,64.88,3309
อำเภอทุ่งศรีอุดม,ตำบลหนองอ้ม,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,76.79,นายวัชรพล เชื้อคง,10.6,66.19,2499
อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,78.64,นายวัชรพล เชื้อคง,9.72,68.93,1976
อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,81.7,นายเกษม ฉิมพลี,9.13,72.57,2924
อำเภอน้ำขุ่น,ตำบลขี้เหล็ก,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,83.82,นายเกษม ฉิมพลี,9.29,74.53,3734
อำเภอทุ่งศรีอุดม,ตำบลโคกชำแระ,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,86.26,นายสิโรตม์ แสนทวีสุข,5.17,81.09,2686
อำเภอน้ำขุ่น,ตำบลไพบูลย์,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,87.27,นายวัชรพล เชื้อคง,5.12,82.15,3009
อำเภอน้ำยืน,ตำบลยางใหญ่,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,88.89,นายวัชรพล เชื้อคง,4.75,84.14,2566
อำเภอน้ำยืน,ตำบลสีวิเชียร,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,90.54,นายสิโรตม์ แสนทวีสุข,4.39,86.15,4643
อำเภอน้ำยืน,ตำบลยาง,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,90.28,นายสิโรตม์ แสนทวีสุข,4.01,86.27,3096
อำเภอน้ำยืน,ตำบลบุเปือย,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,90.74,นายสิโรตม์ แสนทวีสุข,3.55,87.19,3715
อำเภอน้ำยืน,ตำบลโซง,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,90.8,นายวัชรพล เชื้อคง,3.51,87.29,3879
อำเภอน้ำยืน,ตำบลโดมประดิษฐ์,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,92.02,นายวัชรพล เชื้อคง,3.76,88.26,7231
อำเภอน้ำขุ่น,ตำบลโคกสะอาด,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,91.46,นายวัชรพล เชื้อคง,2.9,88.55,2926
อำเภอน้ำยืน,ตำบลเก่าขาม,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,91.69,นายวัชรพล เชื้อคง,2.8,88.89,3356
อำเภอน้ำขุ่น,ตำบลตาเกา,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,92.16,นายวัชรพล เชื้อคง,3.07,89.08,1887
