amphoe,tambon,candidate_name,party_name,color_hex,score,tambon_total,vote_share_%
ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,4659,7626,61.09
อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,2389,2924,81.7
อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,1554,1976,78.64
อำเภอทุ่งศรีอุดม,ตำบลนาเกษม,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,1957,2594,75.44
อำเภอทุ่งศรีอุดม,ตำบลหนองอ้ม,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,1919,2499,76.79
อำเภอทุ่งศรีอุดม,ตำบลโคกชำแระ,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,2317,2686,86.26
อำเภอน้ำขุ่น,ตำบลขี้เหล็ก,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,3130,3734,83.82
อำเภอน้ำขุ่น,ตำบลตาเกา,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,1739,1887,92.16
อำเภอน้ำขุ่น,ตำบลโคกสะอาด,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,2676,2926,91.46
อำเภอน้ำขุ่น,ตำบลไพบูลย์,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,2626,3009,87.27
อำเภอน้ำยืน,ตำบลบุเปือย,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,3371,3715,90.74
อำเภอน้ำยืน,ตำบลยาง,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,2795,3096,90.28
อำเภอน้ำยืน,ตำบลยางใหญ่,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,2281,2566,88.89
อำเภอน้ำยืน,ตำบลสีวิเชียร,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,4204,4643,90.54
อำเภอน้ำยืน,ตำบลเก่าขาม,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,3077,3356,91.69
อำเภอน้ำยืน,ตำบลโซง,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,3522,3879,90.8
อำเภอน้ำยืน,ตำบลโดมประดิษฐ์,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,6654,7231,92.02
อำเภอสำโรง,ตำบลขามป้อม,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,1037,1360,76.25
อำเภอสำโรง,ตำบลค้อน้อย,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,2500,3309,75.55
อำเภอสำโรง,ตำบลหนองไฮ,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,2009,2852,70.44
อำเภอสำโรง,ตำบลโคกสว่าง,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,2245,3119,71.98
อำเภอสำโรง,ตำบลโนนกลาง,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,660,1528,43.19
อำเภอสำโรง,ตำบลโนนกาเล็น,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,1330,2777,47.89
