party_name,votes_2566,share_2566_%,votes_2569,share_2569_%,swing_pp
เพื่อไทย,38875.0,56.75,6270,6.81,-49.94
ประชาชน,22283.0,32.53,4789,5.2,-27.33
รวมไทยสร้างชาติ,3989.0,5.82,673,0.73,-5.09
พลังประชารัฐ,558.0,0.81,497,0.54,-0.27
ภูมิใจไทย,1004.0,1.47,1195,1.3,-0.17
ประชาธิปัตย์,572.0,0.83,650,0.71,-0.12
เสรีรวมไทย,487.0,0.71,781,0.85,0.14
วิชชันใหม่,0.0,0.0,276,0.3,0.3
สร้างอนาคตไทย,0.0,0.0,302,0.33,0.33
พลังสังคมใหม่,0.0,0.0,302,0.33,0.33
ไทยก้าวใหม่,0.0,0.0,317,0.34,0.34
ประชาชาติ,0.0,0.0,347,0.38,0.38
แรงงานสร้างชาติ,0.0,0.0,346,0.38,0.38
เพื่อชีวิตใหม่,0.0,0.0,363,0.39,0.39
คลองไทย,0.0,0.0,362,0.39,0.39
ไทยภักดี,0.0,0.0,365,0.4,0.4
ไทยก้าวหน้า,0.0,0.0,376,0.41,0.41
พลังเพื่อไทย,0.0,0.0,391,0.42,0.42
รวมพลังประชาชน,0.0,0.0,392,0.43,0.43
ปวงชนไทย,0.0,0.0,395,0.43,0.43
มิติใหม่,0.0,0.0,412,0.45,0.45
แผ่นดินธรรม,0.0,0.0,411,0.45,0.45
เป็นธรรม,0.0,0.0,449,0.49,0.49
ไทยธรรม,0.0,0.0,461,0.5,0.5
ทางเลือกใหม่,0.0,0.0,461,0.5,0.5
กล้าธรรม,0.0,0.0,473,0.51,0.51
อนาคตไทย,0.0,0.0,481,0.52,0.52
ประชากรไทย,0.0,0.0,490,0.53,0.53
ไทยพร้อม,0.0,0.0,559,0.61,0.61
กรีน,0.0,0.0,560,0.61,0.61
ไทยทรัพย์ทวี,0.0,0.0,579,0.63,0.63
รวมใจไทย,0.0,0.0,636,0.69,0.69
ประชาธิปไตยใหม่,0.0,0.0,635,0.69,0.69
ใหม่,0.0,0.0,657,0.71,0.71
รักชาติ,0.0,0.0,688,0.75,0.75
ครูไทยเพื่อประชาชน,0.0,0.0,692,0.75,0.75
ไทยชนะ,0.0,0.0,713,0.77,0.77
ไทยพิทักษ์ธรรม,0.0,0.0,720,0.78,0.78
พลวัต,0.0,0.0,735,0.8,0.8
พร้อม,0.0,0.0,786,0.85,0.85
ความหวังใหม่,0.0,0.0,792,0.86,0.86
โอกาสใหม่,0.0,0.0,829,0.9,0.9
ไทยสร้างไทย,501.0,0.73,1583,1.72,0.99
ท้องที่ไทย,0.0,0.0,926,1.01,1.01
พลังธรรมใหม่,0.0,0.0,982,1.07,1.07
สังคมประชาธิปไตยไทย,0.0,0.0,991,1.08,1.08
ไทยรวมไทย,0.0,0.0,1076,1.17,1.17
เครือข่ายชาวนาแห่งประเทศไทย,0.0,0.0,1216,1.32,1.32
ประชาอาสาชาติ,0.0,0.0,1347,1.46,1.46
เศรษฐกิจ,0.0,0.0,1356,1.47,1.47
ประชาไทย,0.0,0.0,1362,1.48,1.48
ฟิวชั่น,0.0,0.0,1705,1.85,1.85
เพื่อบ้านเมือง,0.0,0.0,2094,2.27,2.27
เพื่อชาติไทย,0.0,0.0,2164,2.35,2.35
ก้าวอิสระ,0.0,0.0,2506,2.72,2.72
พลังไทยรักชาติ,0.0,0.0,3417,3.71,3.71
ไทรวมพลัง,0.0,0.0,36758,39.91,39.91
