amphoe,tambon,cand_number,candidate_name,party_name,color_hex,score,amphoe_total,vote_share_%
อำเภอน้ำขุ่น,ตำบลขี้เหล็ก,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,347,11556,3.0
อำเภอน้ำขุ่น,ตำบลขี้เหล็ก,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,3130,11556,27.09
อำเภอน้ำขุ่น,ตำบลขี้เหล็ก,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,87,11556,0.75
อำเภอน้ำขุ่น,ตำบลขี้เหล็ก,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,34,11556,0.29
อำเภอน้ำขุ่น,ตำบลขี้เหล็ก,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,123,11556,1.06
อำเภอน้ำขุ่น,ตำบลขี้เหล็ก,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,13,11556,0.11
อำเภอน้ำขุ่น,ตำบลตาเกา,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,35,11556,0.3
อำเภอน้ำขุ่น,ตำบลตาเกา,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,1739,11556,15.05
อำเภอน้ำขุ่น,ตำบลตาเกา,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,58,11556,0.5
อำเภอน้ำขุ่น,ตำบลตาเกา,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,6,11556,0.05
อำเภอน้ำขุ่น,ตำบลตาเกา,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,44,11556,0.38
อำเภอน้ำขุ่น,ตำบลตาเกา,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,5,11556,0.04
อำเภอน้ำขุ่น,ตำบลโคกสะอาด,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,38,11556,0.33
อำเภอน้ำขุ่น,ตำบลโคกสะอาด,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,2676,11556,23.16
อำเภอน้ำขุ่น,ตำบลโคกสะอาด,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,85,11556,0.74
อำเภอน้ำขุ่น,ตำบลโคกสะอาด,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,42,11556,0.36
อำเภอน้ำขุ่น,ตำบลโคกสะอาด,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,73,11556,0.63
